,cost,zone_markers,attackers_in_six_yard,file_name_entry,cluster,cluster_single_feature,kmeans_single_feature,gmm_all,gmm_single,kmeans_single
0,6.37,3,1,0.json_0,0,0,0,Man-Mark,Man-Mark,Man-Mark
1,7.343,3,2,0.json_1,0,0,0,Man-Mark,Man-Mark,Man-Mark
2,13.322,4,2,0.json_2,0,1,0,Man-Mark,Zone,Man-Mark
3,8.063,2,0,0.json_3,0,0,0,Man-Mark,Man-Mark,Man-Mark
4,7.703,2,0,0.json_4,0,0,0,Man-Mark,Man-Mark,Man-Mark
5,7.272,4,1,1.json_0,0,0,0,Man-Mark,Man-Mark,Man-Mark
6,32.084,8,2,1.json_1,1,1,1,Zone,Zone,Zone
7,23.687,8,1,1.json_2,1,1,1,Zone,Zone,Zone
8,59.462,7,0,1.json_3,1,1,1,Zone,Zone,Zone
9,31.61,6,0,1.json_4,1,1,1,Zone,Zone,Zone
10,7.605,2,0,2.json_0,0,0,0,Man-Mark,Man-Mark,Man-Mark
11,19.464,4,1,2.json_1,1,1,1,Zone,Zone,Zone
12,6.254,2,0,2.json_2,0,0,0,Man-Mark,Man-Mark,Man-Mark
13,24.144,6,1,2.json_3,1,1,1,Zone,Zone,Zone
14,10.078,1,0,2.json_4,0,0,0,Man-Mark,Man-Mark,Man-Mark
15,18.832,1,0,2.json_5,1,1,1,Zone,Zone,Zone
16,9.151,2,0,3.json_0,0,0,0,Man-Mark,Man-Mark,Man-Mark
17,7.679,2,1,3.json_1,0,0,0,Man-Mark,Man-Mark,Man-Mark
18,6.936,1,0,3.json_2,0,0,0,Man-Mark,Man-Mark,Man-Mark
19,3.786,3,1,3.json_3,0,0,0,Man-Mark,Man-Mark,Man-Mark
20,16.271,6,1,3.json_4,1,1,0,Zone,Zone,Man-Mark
21,23.244,6,2,3.json_5,1,1,1,Zone,Zone,Zone
22,28.263,6,0,3.json_6,1,1,1,Zone,Zone,Zone
23,17.2,6,1,4.json_1,1,1,0,Zone,Zone,Man-Mark
24,20.867,3,0,4.json_2,1,1,1,Zone,Zone,Zone
25,20.818,4,0,4.json_3,1,1,1,Zone,Zone,Zone
26,11.624,4,0,4.json_4,1,0,0,Zone,Man-Mark,Man-Mark
27,9.004,4,2,4.json_5,0,0,0,Man-Mark,Man-Mark,Man-Mark
28,22.738,7,1,4.json_6,1,1,1,Zone,Zone,Zone
29,10.331,6,2,4.json_7,1,0,0,Zone,Man-Mark,Man-Mark
30,24.148,5,1,5.json_0,1,1,1,Zone,Zone,Zone
31,5.231,1,0,5.json_1,0,0,0,Man-Mark,Man-Mark,Man-Mark
32,5.826,2,1,5.json_2,0,0,0,Man-Mark,Man-Mark,Man-Mark
33,14.875,2,0,5.json_3,1,1,0,Zone,Zone,Man-Mark
34,8.673,1,0,5.json_4,0,0,0,Man-Mark,Man-Mark,Man-Mark
35,6.578,1,0,5.json_5,0,0,0,Man-Mark,Man-Mark,Man-Mark
36,3.922,1,0,5.json_6,0,0,0,Man-Mark,Man-Mark,Man-Mark
37,10.252,1,0,5.json_7,0,0,0,Man-Mark,Man-Mark,Man-Mark
38,17.529,4,0,5.json_8,1,1,0,Zone,Zone,Man-Mark
39,4.828,2,0,5.json_9,0,0,0,Man-Mark,Man-Mark,Man-Mark
40,8.271,2,0,6.json_0,0,0,0,Man-Mark,Man-Mark,Man-Mark
41,6.78,1,1,6.json_1,0,0,0,Man-Mark,Man-Mark,Man-Mark
42,9.275,3,1,6.json_2,0,0,0,Man-Mark,Man-Mark,Man-Mark
43,6.268,3,1,6.json_3,0,0,0,Man-Mark,Man-Mark,Man-Mark
44,14.231,2,1,6.json_4,1,1,0,Zone,Zone,Man-Mark
45,17.469,2,1,7.json_0,1,1,0,Zone,Zone,Man-Mark
46,19.363,3,1,7.json_1,1,1,1,Zone,Zone,Zone
47,15.714,5,0,7.json_2,1,1,0,Zone,Zone,Man-Mark
48,26.867,6,0,7.json_3,1,1,1,Zone,Zone,Zone
49,16.967,5,2,7.json_4,1,1,0,Zone,Zone,Man-Mark
50,16.173,6,0,7.json_5,1,1,0,Zone,Zone,Man-Mark
51,9.592,5,0,8.json_0,1,0,0,Zone,Man-Mark,Man-Mark
52,5.791,5,2,8.json_1,0,0,0,Man-Mark,Man-Mark,Man-Mark
53,7.498,5,2,8.json_2,0,0,0,Man-Mark,Man-Mark,Man-Mark
54,9.001,5,2,8.json_3,0,0,0,Man-Mark,Man-Mark,Man-Mark
55,6.934,5,2,8.json_4,0,0,0,Man-Mark,Man-Mark,Man-Mark
56,5.65,4,2,10.json_0,0,0,0,Man-Mark,Man-Mark,Man-Mark
57,4.653,2,0,10.json_1,0,0,0,Man-Mark,Man-Mark,Man-Mark
58,11.205,2,0,10.json_2,0,0,0,Man-Mark,Man-Mark,Man-Mark
59,5.123,1,1,10.json_3,0,0,0,Man-Mark,Man-Mark,Man-Mark
60,9.291,2,1,11.json_0,0,0,0,Man-Mark,Man-Mark,Man-Mark
61,9.721,2,1,11.json_1,0,0,0,Man-Mark,Man-Mark,Man-Mark
62,7.73,2,1,11.json_2,0,0,0,Man-Mark,Man-Mark,Man-Mark
63,9.844,3,1,11.json_3,0,0,0,Man-Mark,Man-Mark,Man-Mark
64,11.259,2,1,11.json_4,0,0,0,Man-Mark,Man-Mark,Man-Mark
65,29.612,1,0,11.json_5,1,1,1,Zone,Zone,Zone
66,31.687,4,0,11.json_6,1,1,1,Zone,Zone,Zone
67,29.327,3,1,11.json_7,1,1,1,Zone,Zone,Zone
68,6.241,2,0,12.json_0,0,0,0,Man-Mark,Man-Mark,Man-Mark
69,8.133,4,2,13.json_0,0,0,0,Man-Mark,Man-Mark,Man-Mark
70,7.482,4,1,13.json_1,0,0,0,Man-Mark,Man-Mark,Man-Mark
71,7.886,3,1,13.json_2,0,0,0,Man-Mark,Man-Mark,Man-Mark
72,11.908,4,1,13.json_3,0,0,0,Man-Mark,Man-Mark,Man-Mark
73,21.588,1,0,13.json_4,1,1,1,Zone,Zone,Zone
74,11.42,4,0,14.json_0,1,0,0,Zone,Man-Mark,Man-Mark
75,17.63,5,0,14.json_1,1,1,1,Zone,Zone,Zone
76,6.65,3,1,14.json_2,0,0,0,Man-Mark,Man-Mark,Man-Mark
77,5.408,3,1,14.json_3,0,0,0,Man-Mark,Man-Mark,Man-Mark
78,9.398,3,1,14.json_4,0,0,0,Man-Mark,Man-Mark,Man-Mark
79,7.514,4,2,14.json_5,0,0,0,Man-Mark,Man-Mark,Man-Mark
80,22.729,2,0,14.json_6,1,1,1,Zone,Zone,Zone
81,14.917,3,1,14.json_7,1,1,0,Zone,Zone,Man-Mark
82,8.41,3,1,14.json_8,0,0,0,Man-Mark,Man-Mark,Man-Mark
83,34.54,4,0,14.json_9,1,1,1,Zone,Zone,Zone
84,7.248,3,2,15.json_0,0,0,0,Man-Mark,Man-Mark,Man-Mark
85,13.193,4,2,15.json_1,0,1,0,Man-Mark,Zone,Man-Mark
86,10.71,5,2,15.json_2,0,0,0,Man-Mark,Man-Mark,Man-Mark
87,19.034,6,0,15.json_3,1,1,1,Zone,Zone,Zone
88,13.666,6,1,15.json_4,1,1,0,Zone,Zone,Man-Mark
89,38.515,6,0,15.json_5,1,1,1,Zone,Zone,Zone
90,24.926,7,1,15.json_6,1,1,1,Zone,Zone,Zone
91,17.402,3,1,15.json_7,1,1,0,Zone,Zone,Man-Mark
92,21.827,6,1,15.json_8,1,1,1,Zone,Zone,Zone
93,15.344,3,1,16.json_0,1,1,0,Zone,Zone,Man-Mark
94,8.234,4,1,16.json_1,0,0,0,Man-Mark,Man-Mark,Man-Mark
95,4.685,3,1,16.json_2,0,0,0,Man-Mark,Man-Mark,Man-Mark
96,7.15,4,1,16.json_3,0,0,0,Man-Mark,Man-Mark,Man-Mark
97,8.296,4,1,16.json_4,0,0,0,Man-Mark,Man-Mark,Man-Mark
98,7.022,3,1,16.json_5,0,0,0,Man-Mark,Man-Mark,Man-Mark
99,6.694,3,0,16.json_6,0,0,0,Man-Mark,Man-Mark,Man-Mark
100,6.453,3,0,16.json_7,0,0,0,Man-Mark,Man-Mark,Man-Mark
101,5.732,2,0,16.json_8,0,0,0,Man-Mark,Man-Mark,Man-Mark
102,25.46,4,1,18.json_0,1,1,1,Zone,Zone,Zone
103,26.096,6,1,18.json_1,1,1,1,Zone,Zone,Zone
104,10.364,4,3,18.json_2,0,0,0,Man-Mark,Man-Mark,Man-Mark
105,21.761,5,1,19.json_0,1,1,1,Zone,Zone,Zone
